0.216105	0.269799	0.432553	0.956681	3.270304	21.877381
0.226818	0.282297	0.454984	1.008289	3.409164	22.591954
0.237836	0.295414	0.478899	1.060823	3.548024	23.306526
0.249115	0.309001	0.503556	1.114738	3.686885	24.021099
0.260629	0.322916	0.527806	1.169351	3.825745	24.735672
0.272359	0.337019	0.550864	1.222963	3.964605	25.450245
0.284314	0.351185	0.573166	1.275055	4.103465	26.164817
0.296503	0.365327	0.595481	1.326831	4.242325	26.879390
0.308942	0.379438	0.618407	1.379216	4.381185	27.593963
0.321648	0.393519	0.642118	1.432621	4.520045	28.308535
0.334616	0.407564	0.666207	1.486758	4.658906	29.023108
0.347775	0.421577	0.690062	1.541146	4.797766	29.737681
0.361060	0.435545	0.713217	1.595051	4.936626	30.452253
0.374396	0.449452	0.735879	1.648581	5.075486	31.166826
0.387728	0.463267	0.758566	1.706158	5.214346	31.881399
0.401016	0.476959	0.781952	1.764737	5.353206	32.595972
0.414219	0.490535	0.806585	1.819994	5.492066	33.310544
0.427320	0.504058	0.832063	1.873008	5.630927	34.025117
0.440311	0.517566	0.856844	1.925301	5.769787	34.739690
0.453203	0.530854	0.880589	1.977703	5.908647	35.454262
0.465998	0.543688	0.903910	2.030782	6.047507	36.168835
0.478705	0.556115	0.927402	2.084829	6.186367	36.883408
0.491324	0.568398	0.951422	2.139426	6.325227	37.597981
0.503842	0.580694	0.975837	2.193979	6.464087	38.312553
0.516255	0.592998	1.000237	2.248172	6.602948	39.027126
0.528531	0.605239	1.024306	2.302184	6.741808	39.741699
0.540642	0.617364	1.048200	2.356353	6.880668	40.456271
0.552572	0.629332	1.072220	2.411295	7.019528	41.170844
0.564315	0.641130	1.096607	2.468059	7.158388	41.885417
0.575875	0.652766	1.121337	2.524516	7.297248	42.599989
0.587262	0.664250	1.146077	2.577413	7.436108	43.314562
0.598508	0.675582	1.170460	2.628455	7.574969	44.029135
0.609646	0.686746	1.194138	2.679071	7.713829	44.743708
0.620703	0.697734	1.216970	2.730160	7.852689	45.458280
0.631695	0.708564	1.239181	2.782992	7.991549	46.172853
0.642641	0.719242	1.261146	2.837381	8.130409	46.887426
0.653554	0.729809	1.283216	2.891378	8.269269	47.601998
0.664459	0.740290	1.305562	2.945351	8.408129	48.316571
0.675374	0.750699	1.328312	2.995243	8.546990	49.031144
0.686275	0.761055	1.351620	3.047694	8.685850	49.745716
0.697066	0.771364	1.375297	3.100144	8.824710	50.460289
0.707571	0.781626	1.398773	3.152595	8.963570	51.174862
0.717722	0.791836	1.421604	3.205046	9.102430	51.889435
0.727640	0.801995	1.444046	3.257496	9.241290	52.604007
0.737440	0.812096	1.466474	3.309947	9.380150	53.318580
0.747224	0.822136	1.489105	3.362398	9.519011	54.033153
0.757008	0.832121	1.511970	3.414848	9.657871	54.747725
0.766781	0.842060	1.535063	3.467299	9.796731	55.462298
0.776520	0.851946	1.558461	3.519750	9.935591	56.176871
0.786214	0.861717	1.582357	3.572200	10.074451	56.891443
0.795863	0.871270	1.606842	3.624651	10.213311	57.606016
0.805469	0.880449	1.631575	3.677101	10.352171	58.320589
0.815039	0.889326	1.656021	3.729552	10.491032	59.035162
0.824520	0.898234	1.680135	3.782003	10.629892	59.749734
0.833855	0.907383	1.703889	3.834453	10.768752	60.464307
0.843021	0.916792	1.727227	3.886904	10.907612	61.178880
0.852039	0.926355	1.750361	3.939355	11.046472	61.893452
0.860978	0.935982	1.773533	3.991805	11.185332	62.608025
0.869897	0.945627	1.796762	4.044256	11.324192	63.322598
0.878828	0.955262	1.819657	4.096706	11.463053	64.037171

-0.620779	-0.484037	-0.284848	-0.199563	-0.172113	-0.152095
-0.584651	-0.458032	-0.269086	-0.189024	-0.168360	-0.143878
-0.550131	-0.432385	-0.253783	-0.178913	-0.163732	-0.135504
-0.517096	-0.407150	-0.238895	-0.169246	-0.158121	-0.127004
-0.485335	-0.382279	-0.224348	-0.159898	-0.151510	-0.118464
-0.454558	-0.357918	-0.210141	-0.150771	-0.144014	-0.109676
-0.424785	-0.334029	-0.196262	-0.141832	-0.135901	-0.100773
-0.396262	-0.310849	-0.182715	-0.133053	-0.127507	-0.091618
-0.369048	-0.288210	-0.169520	-0.124351	-0.119016	-0.082226
-0.343049	-0.266076	-0.156744	-0.115664	-0.110440	-0.072470
-0.318009	-0.244458	-0.144507	-0.106952	-0.101745	-0.062318
-0.293808	-0.223384	-0.132884	-0.098199	-0.092900	-0.051550
-0.270306	-0.203041	-0.121866	-0.089386	-0.083854	-0.040220
-0.247746	-0.183755	-0.111399	-0.080497	-0.074536	-0.028245
-0.226028	-0.165446	-0.101354	-0.071513	-0.064844	-0.015819
-0.205374	-0.148100	-0.091597	-0.062407	-0.054618	-0.003003
-0.185871	-0.131702	-0.082016	-0.053144	-0.043613	0.010376
-0.167439	-0.116111	-0.072518	-0.043679	-0.031507	0.024548
-0.149713	-0.101288	-0.063048	-0.033955	-0.018083	0.040153
-0.132595	-0.087138	-0.053569	-0.023850	-0.002755	0.059279
-0.116029	-0.073619	-0.044051	-0.013197	0.014377	0.085300
-0.100098	-0.060723	-0.034467	-0.001819	0.033345	0.119999
